TWD,台幣
USD,美金
EUR,歐元
JPY,日圓
GBP,英鎊
CHF,瑞士法郎
CAD,加幣
AUD,澳幣
BRL,巴西黑奧
CNY,人民幣
CZK,捷克克朗
DKK,丹麥克羅納
HKD,港幣
HUF,匈牙利
IDR,印尼盧比
INR,印度盧比
KRW,韓圜
MXN,墨西哥披索
NOK,挪威克?
NZD,紐幣
PHP,菲律賓披索
PLN,波蘭茲羅提
RUB,俄國盧布
SEK,瑞典克郎
SGD,新加坡幣
THB,泰銖
TRL,土耳其里拉
ZAR,南非幣
MYR,馬來西亞
SKK,斯洛伐克克朗
SAR,沙烏地阿拉伯利雅
COP,哥倫比亞披索
ZWD,辛巴威
MAD,摩洛哥迪拉姆
EGP,埃及鎊
ILS,以色列謝克
CLP,智利披索
ARS,阿根廷披索
BOB,玻利維亞幣
ECS,厄爪多爾蘇克雷
PAB,巴拿馬巴布亞
VEB,委內瑞拉銀幣
PKR,巴基斯坦盧比
LKR,斯里蘭卡盧比
CRC,哥斯大黎加
TRY,新土耳其里拉
KES,肯亞先令
MUR,模里西斯盧比
VND,越南幣
ISK,冰島幣
AED,阿拉伯聯合大公國迪拉姆
PEN,秘魯索爾
XAU,黃金
CNH,境外人民幣
KWD,科威特幣
MOP,澳門幣
