岩館,電話,地址,抱石,上攀,速度攀,平日票,假日票,星光票,時票,岩粉,岩鞋,吊帶,平日時間,假日時間,離峰票,早鳥10-13,下午12-18,晚上17/18-23,兩小時票,備註
RedRock紅石攀岩館-士林店,(02)28837591,台北市士林區承德路四段261號B1 ,1,0,0,250,250,n.a.,n.a.,,100,0,16:00-23:00,週六  09:00-21:00,0,0,0,0,0,
小岩館The Little Rock-天母店,(02)28347217,台北市士林區忠誠路二段12號1樓,1,0,0,280,280,200,n.a.,,100,0,14:00-22:00,10:00-19:00,0,0,0,0,0,
小岩館The Little Rock-內湖店,(02)26576006,台北市內湖區瑞光路258巷55號1樓,1,0,0,320,320,250,n.a.,,100,0,12:00-23:00,週六  10:00-22:00、週日 10:00-19:00,0,0,0,0,0,
Camp 4攀岩館-北投運動中心館（達文西）,(02)28237808,台北市北投區石牌路一段39巷100號,0,1,0,190,190,n.a.,n.a.,20,80,50,10:00-22:00, 09:00-18:00,0,0,0,0,0,
Camp 4攀岩館-萬華運動中心館,(02)23759900,台北市萬華區西寧南路6-1號4樓,0,1,0,400,400,n.a.,n.a.,,80,0,10:00-22:00, 09:00-18:00,0,0,0,0,0,
CORNER Bouldering Gym角·攀岩館,(02)25633749,台北市中山區新生北路一段86號,1,0,0,250-350,350,250,n.a.,,,0,10:00-23:00,週六  09:00-21:00,0,250,300,350,0,
內湖運動中心攀岩館（光合作用）,(02)26560052,台北市內湖區洲子街12號,1,1,0,200,200,200,n.a.,50,50,50,09:00-22:00,09:00-22:00,0,0,0,0,0,
汐止抱石館Xizhi Bouldering Gym,(02)86915691,新北市汐止區忠孝東路9號2樓,1,0,0,n.a.,n.a.,n.a.,n.a.,,,0,週二至週五 13:00-22:00 ,週六  09:00-22:00,0,0,0,0,0,課程預約型
市民抱石攀岩館,(02)27886220,台北市南港區市民大道八段552號2樓,1,0,0,350,350,250,n.a.,50,100,0,10:00-22:30,10:00-22:30,300,0,0,0,0,
奇岩攀岩館 Kirin Climbing Gym,(02)26518875,台北市南港區忠孝東路七段512號1樓,1,0,0,250,250,n.a.,n.a.,,80,0,14:00-22:30,10:00-20:00,200,0,0,0,0,
double 8 岩究所,(02)25508081,台北市大同區迪化街一段251號,1,1,0,250,280,n.a.,n.a.,,,0,13:30-22:00,10:00-19:00,0,0,0,0,0,
